order_id,customer_city,customer_state,order_status,payment_value,payment_type
e481f51cbdc54678b7cc49136f2d6af7,sao paulo,SP,delivered,18.12,credit_card
e481f51cbdc54678b7cc49136f2d6af7,sao paulo,SP,delivered,2.0,voucher
e481f51cbdc54678b7cc49136f2d6af7,sao paulo,SP,delivered,18.59,voucher
53cdb2fc8bc7dce0b6741e2150273451,barreiras,BA,delivered,141.46,boleto
47770eb9100c2d0c44946d9cf07ec65d,vianopolis,GO,delivered,179.12,credit_card
949d5b44dbf5de918fe9c16f97b45f8a,sao goncalo do amarante,RN,delivered,72.2,credit_card
ad21c59c0840e6cb83a9ceb5573f8159,santo andre,SP,delivered,28.62,credit_card
a4591c265e18cb1dcee52889e2d8acc3,congonhinhas,PR,delivered,175.26,credit_card
136cce7faa42fdb2cefd53fdc79a6098,santa rosa,RS,invoiced,65.95,credit_card
6514b8ad8028c9f2cc2374ded245783f,nilopolis,RJ,delivered,75.16,credit_card
